gwcode,year,infmort,infmort_yearadj,infmort_imputed
551,1988,107.3,1.1833621208937395,FALSE
551,1989,108.9,1.2616478571671055,FALSE
551,1990,110,1.3324340704008444,FALSE
551,1991,110.7,1.4577019784997516,FALSE
551,1992,110.9,1.5186280458531427,FALSE
551,1993,110.6,1.5554352291404034,FALSE
551,1994,109.5,1.5648594302465093,FALSE
551,1995,107.9,1.5568242948153894,FALSE
551,1996,106,1.5590347303271865,FALSE
551,1997,104.2,1.5659433442025619,FALSE
551,1998,102.6,1.5765460362933694,FALSE
551,1999,101.1,1.5954317230159993,FALSE
551,2000,98.8,1.605194843172361,FALSE
551,2001,95.1,1.5771149011138095,FALSE
551,2002,90.1,1.50669140140676,FALSE
551,2003,84,1.412227147991773,FALSE
551,2004,77.7,1.3034066595214981,FALSE
551,2005,71.1,1.1758888312573472,FALSE
551,2006,65.5,1.083282401587394,FALSE
551,2007,61.6,1.0216211636669095,FALSE
551,2008,59.3,1.0135301086125612,FALSE
551,2009,56.7,0.9878371937741776,FALSE
551,2010,54.8,0.9917340320872797,FALSE
551,2011,52.8,0.9562185380594709,FALSE
551,2012,51.2,0.9791398722311954,FALSE
551,2013,49.6,0.981442497675569,FALSE
551,2014,47.8,0.9694293187692569,FALSE
551,2015,45.9,0.9479843509098475,FALSE
551,2016,44.5,0.9450856673919139,FALSE
551,2017,43.1,0.9373720022913888,FALSE
551,2018,41.5,0.9169386549961307,FALSE
551,2019,40.4,0.9200026464159199,FALSE
552,1965,83.2,-0.2934232837686016,FALSE
552,1966,80.9,-0.2951612480453824,FALSE
552,1967,78.8,-0.29887460767153473,FALSE
552,1968,76.9,-0.31290174412185534,FALSE
552,1969,75.4,-0.3091565522674275,FALSE
552,1970,74.1,-0.29597933769681967,FALSE
552,1971,73.2,-0.2793962014639825,FALSE
552,1972,72.4,-0.26102591917755696,FALSE
552,1973,71.8,-0.23025570448338176,FALSE
552,1974,71.6,-0.21130933040066807,FALSE
552,1975,71.6,-0.20439469652887718,FALSE
552,1976,71.6,-0.16475140742023278,FALSE
552,1977,71.6,-0.12902391310094735,FALSE
552,1978,71.4,-0.08539404353215108,FALSE
552,1979,70.9,-0.05029555487345071,FALSE
552,1980,70,-0.022944764003999613,FALSE
552,1981,68.5,-0.0061712934503321505,FALSE
552,1982,66.2,-0.010817894001170147,FALSE
552,1983,63.3,-0.031177299374430523,FALSE
552,1984,60.3,-0.04946186423697279,FALSE
552,1985,57.3,-0.07920215683844452,FALSE
