gwcode,year,for_year,outcome,observed,p
316,2016,2017,coup,0,0
317,2016,2017,coup,0,0
325,2016,2017,coup,0,0.0026333333333333334
338,2016,2017,coup,0,0.009483333333333335
339,2016,2017,coup,0,0.001
340,2016,2017,coup,0,0.0057
341,2016,2017,coup,0,0.0024
343,2016,2017,coup,0,0.0027
344,2016,2017,coup,0,0.0047
346,2016,2017,coup,0,0.00225
349,2016,2017,coup,0,0.0016
350,2016,2017,coup,0,5e-4
352,2016,2017,coup,0,0
355,2016,2017,coup,0,0.008883333333333333
359,2016,2017,coup,0,0.0105
360,2016,2017,coup,0,0
365,2016,2017,coup,0,0.0067
366,2016,2017,coup,0,0
367,2016,2017,coup,0,0
368,2016,2017,coup,0,0
369,2016,2017,coup,0,0.0194
370,2016,2017,coup,0,0.0022666666666666673
371,2016,2017,coup,0,0.0024500000000000004
372,2016,2017,coup,0,0.002
373,2016,2017,coup,0,0.010233333333333332
375,2016,2017,coup,0,0
380,2016,2017,coup,0,0
385,2016,2017,coup,0,0
390,2016,2017,coup,0,0
395,2016,2017,coup,0,0
402,2016,2017,coup,0,2.5e-4
404,2016,2017,coup,0,0.03546666666666666
411,2016,2017,coup,0,0.058199999999999995
420,2016,2017,coup,0,0.010799999999999999
432,2016,2017,coup,0,0.0083
433,2016,2017,coup,0,0.018100000000000005
434,2016,2017,coup,0,0.0085
435,2016,2017,coup,0,0.015216666666666667
436,2016,2017,coup,0,0.004366666666666666
437,2016,2017,coup,0,0.03833333333333332
438,2016,2017,coup,0,0.029866666666666663
439,2016,2017,coup,0,0.05035
450,2016,2017,coup,0,0.006633333333333333
451,2016,2017,coup,0,0.009933333333333334
452,2016,2017,coup,0,8.333333333333333e-4
461,2016,2017,coup,0,0.017
471,2016,2017,coup,0,0.06610000000000002
475,2016,2017,coup,0,0.01815
481,2016,2017,coup,0,0.011316666666666666
482,2016,2017,coup,0,0.03678333333333333
483,2016,2017,coup,0,0.04326666666666667
484,2016,2017,coup,0,0.007033333333333333
490,2016,2017,coup,0,0.03618333333333333
500,2016,2017,coup,0,0.006566666666666667
501,2016,2017,coup,0,0.016083333333333335
510,2016,2017,coup,0,0.005
516,2016,2017,coup,0,0.05521666666666668
517,2016,2017,coup,0,0.015233333333333335
520,2016,2017,coup,0,0.07021666666666666
522,2016,2017,coup,0,0.0019
530,2016,2017,coup,0,0.005900000000000001
531,2016,2017,coup,0,0.007600000000000001
540,2016,2017,coup,0,0.03623333333333333
541,2016,2017,coup,0,0.003866666666666667
551,2016,2017,coup,0,0.01645
552,2016,2017,coup,1,0.04173333333333332
553,2016,2017,coup,0,0.005083333333333334
560,2016,2017,coup,0,0.001
565,2016,2017,coup,0,0.0012666666666666666
570,2016,2017,coup,0,0.039366666666666675
571,2016,2017,coup,0,0
572,2016,2017,coup,0,0.009133333333333335
580,2016,2017,coup,0,0.01908333333333333
581,2016,2017,coup,0,0.01475
590,2016,2017,coup,0,3.333333333333333e-4
600,2016,2017,coup,0,0.0037833333333333334
615,2016,2017,coup,0,0.014116666666666668
616,2016,2017,coup,0,0.00535
620,2016,2017,coup,0,0.03171666666666667
625,2016,2017,coup,0,0.03095
626,2016,2017,coup,0,0.0489
630,2016,2017,coup,0,0.005116666666666666
640,2016,2017,coup,0,0.06901666666666667
645,2016,2017,coup,0,0.0021666666666666666
651,2016,2017,coup,0,0.05651666666666668
652,2016,2017,coup,0,0.052383333333333344
660,2016,2017,coup,0,0.004849999999999999
663,2016,2017,coup,0,0.0010333333333333332
666,2016,2017,coup,0,0
670,2016,2017,coup,0,0.004783333333333334
678,2016,2017,coup,0,0.031599999999999996
690,2016,2017,coup,0,0.0022
692,2016,2017,coup,0,0.007883333333333334
694,2016,2017,coup,0,0.004200000000000001
696,2016,2017,coup,0,8.333333333333333e-4
698,2016,2017,coup,0,0.004033333333333333
700,2016,2017,coup,0,0.012233333333333334
701,2016,2017,coup,0,0.002
702,2016,2017,coup,0,0.002
703,2016,2017,coup,0,0.0036666666666666666
704,2016,2017,coup,0,0.004233333333333334
705,2016,2017,coup,0,6.666666666666666e-4
710,2016,2017,coup,0,0.0036
712,2016,2017,coup,0,0.0026666666666666666
731,2016,2017,coup,0,0
732,2016,2017,coup,0,0.004200000000000001
740,2016,2017,coup,0,0
750,2016,2017,coup,0,0.00325
760,2016,2017,coup,0,0.0026
770,2016,2017,coup,0,0.01655
771,2016,2017,coup,0,0.011233333333333335
775,2016,2017,coup,0,0.04418333333333334
780,2016,2017,coup,0,0.005066666666666666
781,2016,2017,coup,0,0.029316666666666668
790,2016,2017,coup,0,0.005183333333333334
800,2016,2017,coup,0,0.08770000000000001
811,2016,2017,coup,0,0.004483333333333333
812,2016,2017,coup,0,0.0035
816,2016,2017,coup,0,8.999999999999999e-4
820,2016,2017,coup,0,0
830,2016,2017,coup,0,0.0056500000000000005
840,2016,2017,coup,0,0.07421666666666667
850,2016,2017,coup,0,0.001
860,2016,2017,coup,0,0.012366666666666665
900,2016,2017,coup,0,0
910,2016,2017,coup,0,0.005083333333333333
920,2016,2017,coup,0,0
940,2016,2017,coup,0,0.00575
950,2016,2017,coup,0,0.042316666666666655
2,2017,2018,coup,0,1.503583851871057e-4
20,2017,2018,coup,0,0
40,2017,2018,coup,0,0.025610504489006005
41,2017,2018,coup,0,0.00903296311178233
42,2017,2018,coup,0,0.006364154263387481
51,2017,2018,coup,0,5.264941090703665e-4
52,2017,2018,coup,0,1.1896551724137931e-4
53,2017,2018,coup,0,8.75844017917653e-4
70,2017,2018,coup,0,0.008341934585559159
90,2017,2018,coup,0,0.003898681896366148
91,2017,2018,coup,0,0.03476699454447497
92,2017,2018,coup,0,0.02251440596828393
93,2017,2018,coup,0,0.005699723482330735
94,2017,2018,coup,0,1.8867924528301885e-005
95,2017,2018,coup,0,2.260385005065856e-4
100,2017,2018,coup,0,0.0018295713182099843
101,2017,2018,coup,0,0.05634431307762447
110,2017,2018,coup,0,0.022476305291405235
115,2017,2018,coup,0,0.01602378498024033
130,2017,2018,coup,0,0.03639824193880604
135,2017,2018,coup,0,0.0013641909813190529
140,2017,2018,coup,0,0.005828702180102661
145,2017,2018,coup,0,0.006744339869666232
150,2017,2018,coup,0,0.01268973409908286
155,2017,2018,coup,0,0.00033736263736263734
160,2017,2018,coup,0,0.0024447240265276305
165,2017,2018,coup,0,0
200,2017,2018,coup,0,0.0030286909892395636
205,2017,2018,coup,0,0.0010624036979969183
210,2017,2018,coup,0,0
211,2017,2018,coup,0,0
212,2017,2018,coup,0,0.0014446580090814645
220,2017,2018,coup,0,6.984478935698448e-5
225,2017,2018,coup,0,0
230,2017,2018,coup,0,0
235,2017,2018,coup,0,0.004080025820662546
260,2017,2018,coup,0,0
290,2017,2018,coup,0,0.005962427202880078
305,2017,2018,coup,0,1.7241379310344828e-5
310,2017,2018,coup,0,0.0025238374683659156
316,2017,2018,coup,0,1.7241379310344828e-5
317,2017,2018,coup,0,0
325,2017,2018,coup,0,0.002497994852469258
338,2017,2018,coup,0,0.008854358361112914
339,2017,2018,coup,0,0.004590878596576063
340,2017,2018,coup,0,0.0065084884623668945
341,2017,2018,coup,0,0.0026824594116527122
343,2017,2018,coup,0,0.003576025646005809
344,2017,2018,coup,0,0.0022049766884389963
346,2017,2018,coup,0,0.0027248665069723823
349,2017,2018,coup,0,8.25531914893617e-5
350,2017,2018,coup,0,0.0021089743589743585
352,2017,2018,coup,0,3.278688524590164e-5
355,2017,2018,coup,0,0.012019219145416449
359,2017,2018,coup,0,0.00215092284771798
360,2017,2018,coup,0,0.0015023859722764312
365,2017,2018,coup,0,0.006802066494049321
366,2017,2018,coup,0,0
367,2017,2018,coup,0,0
